SynIdeMES1,UNOC
SynVerNumMES2,3
MesSenMES3,TRADER.GR
MesRecMES6,NXA.GR
DatOfPreMES9,170726
TimOfPreMES10,955
IntConRefMES11,1.50105E+12
TesIndMES18,0
MesIdeMES19,1.50105E+12
MesTypMES20,CC515A
RefNumHEA4,1.53856E+12
TypOfDecHEA24,EX
CouOfDesCodHEA30,CA
AgrLocOfGooCodHEA38,01/0102/24
AgrLocOfGooHEA39,phonograph
CouOfDisCodHEA55,GR
InlTraModHEA75,3
TraModAtBorHEA76,4
IdeOfMeaOfTraAtDHEA78,BCS7837
IdeOfMeaOfTraAtDHEA78LNG,DE
IdeOfMeaOfTraCroHEA85,BCS7837
IdeOfMeaOfTraCroHEA85LNG,EN
NatOfMeaOfTraCroHEA87,DE
ConIndHEA96,0
DiaLanIndAtDepHEA254,EL
ECSAccDocHEA601,EL
TotNumOfIteHEA305,1
TotNumOfPacHEA306,1
TotGroMasHEA307,1
DecDatHEA383,20181003
DecPlaHEA394,???????? ??????
DecPlaHEA394LNG,EL
ComRefNumHEA,701-9454426-6350649
TypOfDecBx12HEA651,C
TIRFolHEA1025,0
NamEX17,PHONOGRAPH ???
StrAndNumEX122,????. ?????????? 93
PosCodEX123,16674
CitEX124,???????
CouEX125,GR
NADLNGEX,EL
TINEX159,GR997728048
NamCE17,Philip Santos 
StrAndNumCE122,510 Goodale Drive.
PosCodCE123,R1N 3M3
CitCE124,"Portage la Prairie, Manitoba"
CouCE125,CA
NADLNGCE,EN
RefNumERT1,GR000102
RefNumEXT1,GR000304
IteNumGDS7,1
GooDesGDS23,????????? Ubisoft Maria Ubisoft Aguilar
GroMasGDS46,1
NetMasGDS48,0.7
ProReqGDI1,10
PreProGDI1,0
ComNatProGIM1,0
StaValAmoGDI1,73.65
CouOfOriGDI1,GR
PreDocTypAR21,380
PreDocRefAR26,701-9454426-6350649
PreDocCatPREADMREF21,Z
DocTypDC21,N380
DocRefDC23,701-9454426-6350649
DocRefDCLNG,EN
DocTypDC21,N705
DocRefDC23,2647541433
DocRefDCLNG,EN
DocTypDC21,Y903
DocRefDC23,-
DocRefDCLNG,EL
DocTypDC21,Y935
DocRefDC23,-
DocRefDCLNG,EL
DocTypDC21,1961
DocRefDC23,17GR000001SASP00038
DocRefDCLNG,EL
ComNomCMD1,95030035
TARCodCMD1,0
TARFirAddCodCMD1,4099
TARSecAddCodCMD1,0
NAtAddCodCMD1,0
MarNumOfPacGS21,2647541433
MarNumOfPacGS21LNG,EN
KinOfPacGS23,PC
NumOfPacGS24,1
SpeMenTDE1022,400
IncCodTDL1,FCA
ComInfDELTER387,?????
ComInfDELTER387LNG,EN
CurTRD1,CAD
TotAmoInvTRD1,111.4
ExcRatTRD1,1.5126
RepStatCodSTATREP386,1
